t,h,date,lon,lat,v,d_m,active_phases,time_interval
164.69999999999493,79.9211923470059,2023-07-01 12:02:44,-79.81319424386578,29.32593784253903,2335.7513592320593,270.78085642307997,['Phase_3'],"[[163.7, 164.7]]"
165.79999999999487,80.9790239684638,2023-07-01 12:02:45,-79.79830838075837,29.34081965849774,2338.545742585053,297.85894206538796,['Phase_3'],"[[164.7, 165.8]]"
166.7999999999948,81.93836321873013,2023-07-01 12:02:46,-79.7847503432892,29.35437387271802,2341.114025935372,270.78085642307997,['Phase_3'],"[[165.8, 166.8]]"
167.89999999999475,82.99109994637078,2023-07-01 12:02:47,-79.76980840321956,29.369311445079763,2343.969765824688,297.85894206538796,['Phase_3'],"[[166.8, 167.9]]"
168.8999999999947,83.94584672211312,2023-07-01 12:02:48,-79.75619917034787,29.382916556612955,2346.59364858071,270.78085642307997,['Phase_3'],"[[167.9, 168.9]]"
169.99999999999463,84.99357461655923,2023-07-01 12:02:49,-79.74120067680835,29.397910347129617,2349.5103542640672,297.85894206538796,['Phase_3'],"[[168.9, 170.0]]"
170.99999999999457,85.9438066516816,2023-07-01 12:02:50,-79.72753981434508,29.411566776611856,2352.1894935178157,270.78085642307997,['Phase_3'],"[[170.0, 171.0]]"
172.0999999999945,86.98661067741047,2023-07-01 12:02:52,-79.71248428854261,29.4266172490141,2355.166811971844,297.85894206538796,['Phase_3'],"[[171.0, 172.1]]"
173.09999999999445,87.93240473120277,2023-07-01 12:02:53,-79.69877136002363,29.44032541907479,2357.9009141175293,270.78085642307997,['Phase_3'],"[[172.1, 173.1]]"
174.1999999999944,88.97036880998697,2023-07-01 12:02:54,-79.68365832036459,29.455433039580505,2360.938555952554,297.85894206538796,['Phase_3'],"[[173.1, 174.2]]"
175.19999999999433,89.91180072281075,2023-07-01 12:02:55,-79.66989288647068,29.469193375416094,2363.7273888043783,270.78085642307997,['Phase_3'],"[[174.2, 175.2]]"
176.29999999999427,90.94500779717177,2023-07-01 12:02:56,-79.65472184787909,29.484358613405114,2366.8251279415113,297.85894206538796,['Phase_3'],"[[175.2, 176.3]]"
177.3999999999942,91.97575589579982,2023-07-01 12:02:57,-79.63952023397444,29.499554220526548,2369.95427069006,297.85894206538796,['Phase_3'],"[[176.3, 177.4]]"
178.39999999999415,92.91068462823651,2023-07-01 12:02:58,-79.62567393925926,29.513394871873828,2372.8261576281207,270.78085642307997,['Phase_3'],"[[177.4, 178.4]]"
179.4999999999941,93.93680033669531,2023-07-01 12:02:59,-79.61041357947096,29.528648818879486,2376.0151257914295,297.85894206538796,['Phase_3'],"[[178.4, 179.5]]"
180.59999999999403,94.96052180044713,2023-07-01 12:03:00,-79.59512225049863,29.54393351582484,2379.235370204709,297.85894206538796,['Phase_3'],"[[179.5, 180.6]]"
181.69999999999396,95.98187102554904,2023-07-01 12:03:01,-79.579799815708,29.55924909475747,2382.4868520588566,297.85894206538796,['Phase_3'],"[[180.6, 181.7]]"
182.6999999999939,96.9083301830881,2023-07-01 12:03:02,-79.56584322137832,29.573199258354745,2385.4698204353795,270.78085642307997,['Phase_3'],"[[181.7, 182.7]]"
183.79999999999384,97.92521125205045,2023-07-01 12:03:03,-79.55046102100255,29.588574162640604,2388.780836476934,297.85894206538796,['Phase_3'],"[[182.7, 183.8]]"
184.89999999999378,98.93978340412737,2023-07-01 12:03:04,-79.53504731364784,29.603980336444653,2392.122987614915,297.85894206538796,['Phase_3'],"[[183.8, 184.9]]"
185.99999999999372,99.95206817079153,2023-07-01 12:03:05,-79.51960196014026,29.61941791415513,2395.496241935012,297.85894206538796,['Phase_3'],"[[184.9, 186.0]]"
186.0521464720759,100.00000000000001,2023-07-01 12:03:06,-79.51960196014026,29.61941791415513,2395.656925718871,14.120266369864112,['Phase_3'],"[[186.0, 186.0521465]]"
